t,x,y
0.00E+00,-6.74E-02,-1.74E+00
3.52E-01,-5.75E-02,-1.73E+00
7.04E-01,-6.14E-02,-1.70E+00
1.06E+00,-5.95E-02,-1.67E+00
1.41E+00,-6.34E-02,-1.65E+00
1.76E+00,-6.34E-02,-1.63E+00
2.11E+00,-6.14E-02,-1.61E+00
2.46E+00,-6.14E-02,-1.58E+00
2.82E+00,-6.34E-02,-1.57E+00
3.17E+00,-6.54E-02,-1.55E+00
3.52E+00,-6.74E-02,-1.52E+00
3.87E+00,-6.54E-02,-1.49E+00
4.23E+00,-6.74E-02,-1.47E+00
4.58E+00,-6.74E-02,-1.45E+00
4.93E+00,-6.74E-02,-1.43E+00
5.28E+00,-6.74E-02,-1.40E+00
5.63E+00,-6.74E-02,-1.38E+00
5.99E+00,-6.14E-02,-1.36E+00
6.34E+00,-6.54E-02,-1.33E+00
6.69E+00,-6.74E-02,-1.30E+00
7.04E+00,-6.74E-02,-1.28E+00
7.39E+00,-6.93E-02,-1.25E+00
7.75E+00,-7.13E-02,-1.24E+00
8.10E+00,-7.13E-02,-1.22E+00
8.45E+00,-7.13E-02,-1.19E+00
8.80E+00,-7.13E-02,-1.16E+00
9.15E+00,-7.33E-02,-1.15E+00
9.51E+00,-7.53E-02,-1.12E+00
9.86E+00,-6.74E-02,-1.10E+00
1.02E+01,-6.93E-02,-1.08E+00
1.06E+01,-6.54E-02,-1.05E+00
1.09E+01,-6.54E-02,-1.03E+00
1.13E+01,-6.34E-02,-1.00E+00
1.16E+01,-6.74E-02,-9.67E-01
1.20E+01,-7.13E-02,-9.47E-01
1.23E+01,-7.13E-02,-9.22E-01
1.27E+01,-7.53E-02,-8.96E-01
1.30E+01,-7.33E-02,-8.72E-01
1.34E+01,-7.33E-02,-8.48E-01
1.37E+01,-7.72E-02,-8.21E-01
1.41E+01,-7.33E-02,-7.93E-01
1.44E+01,-7.53E-02,-7.65E-01
1.48E+01,-7.13E-02,-7.50E-01
1.51E+01,-6.54E-02,-7.30E-01
1.55E+01,-6.93E-02,-7.08E-01
1.58E+01,-6.93E-02,-6.86E-01
1.62E+01,-6.34E-02,-6.65E-01
1.65E+01,-6.34E-02,-6.59E-01
1.69E+01,-6.34E-02,-6.71E-01
1.73E+01,-6.34E-02,-6.86E-01
1.76E+01,-6.34E-02,-7.08E-01
1.80E+01,-6.93E-02,-7.34E-01
1.83E+01,-6.93E-02,-7.52E-01
1.87E+01,-6.93E-02,-7.69E-01
1.90E+01,-6.14E-02,-7.89E-01
1.94E+01,-6.34E-02,-8.09E-01
1.97E+01,-5.75E-02,-8.29E-01
2.01E+01,-6.14E-02,-8.46E-01
2.04E+01,-6.54E-02,-8.66E-01
2.08E+01,-6.54E-02,-8.82E-01
2.11E+01,-6.54E-02,-9.04E-01
2.15E+01,-6.93E-02,-9.20E-01
2.18E+01,-6.54E-02,-9.47E-01
2.22E+01,-6.14E-02,-9.73E-01
2.25E+01,-6.14E-02,-9.97E-01
2.29E+01,-5.95E-02,-1.02E+00
2.32E+01,-5.55E-02,-1.03E+00
2.36E+01,-5.35E-02,-1.05E+00
2.39E+01,-5.15E-02,-1.06E+00
