t,x,y
0.00E+00,-7.06E-01,-1.33E+00
3.52E-01,-7.10E-01,-1.34E+00
7.04E-01,-7.02E-01,-1.34E+00
1.06E+00,-7.02E-01,-1.36E+00
1.41E+00,-7.06E-01,-1.36E+00
1.76E+00,-6.98E-01,-1.38E+00
2.11E+00,-6.98E-01,-1.38E+00
2.46E+00,-6.98E-01,-1.40E+00
2.82E+00,-6.98E-01,-1.41E+00
3.17E+00,-6.94E-01,-1.42E+00
3.52E+00,-6.94E-01,-1.43E+00
3.87E+00,-6.90E-01,-1.45E+00
4.23E+00,-6.90E-01,-1.45E+00
4.58E+00,-6.98E-01,-1.46E+00
4.93E+00,-6.98E-01,-1.47E+00
5.28E+00,-6.98E-01,-1.48E+00
5.63E+00,-7.02E-01,-1.49E+00
5.99E+00,-7.10E-01,-1.49E+00
6.34E+00,-6.98E-01,-1.50E+00
6.69E+00,-6.98E-01,-1.51E+00
7.04E+00,-7.06E-01,-1.48E+00
7.39E+00,-7.02E-01,-1.45E+00
7.75E+00,-6.98E-01,-1.43E+00
8.10E+00,-7.02E-01,-1.41E+00
8.45E+00,-7.02E-01,-1.38E+00
8.80E+00,-6.98E-01,-1.34E+00
9.15E+00,-6.98E-01,-1.32E+00
9.51E+00,-7.02E-01,-1.28E+00
9.86E+00,-7.06E-01,-1.26E+00
1.02E+01,-7.02E-01,-1.22E+00
1.06E+01,-7.06E-01,-1.19E+00
1.09E+01,-7.06E-01,-1.16E+00
1.13E+01,-7.06E-01,-1.13E+00
1.16E+01,-7.06E-01,-1.10E+00
1.20E+01,-7.06E-01,-1.07E+00
1.23E+01,-7.06E-01,-1.05E+00
1.27E+01,-7.06E-01,-1.03E+00
1.30E+01,-6.98E-01,-9.90E-01
1.34E+01,-7.06E-01,-9.58E-01
1.37E+01,-7.06E-01,-9.23E-01
1.41E+01,-7.14E-01,-9.03E-01
1.44E+01,-7.14E-01,-8.67E-01
1.48E+01,-7.14E-01,-8.39E-01
1.51E+01,-7.18E-01,-8.55E-01
1.55E+01,-7.14E-01,-8.63E-01
1.58E+01,-7.06E-01,-8.67E-01
1.62E+01,-7.06E-01,-8.79E-01
1.65E+01,-7.14E-01,-8.87E-01
1.69E+01,-7.06E-01,-8.99E-01
1.73E+01,-7.10E-01,-9.03E-01
1.76E+01,-7.14E-01,-9.11E-01
1.80E+01,-7.18E-01,-9.31E-01
1.83E+01,-7.22E-01,-9.35E-01
1.87E+01,-7.22E-01,-9.43E-01
1.90E+01,-7.22E-01,-9.58E-01
1.94E+01,-7.18E-01,-9.74E-01
1.97E+01,-7.18E-01,-9.78E-01
2.01E+01,-7.10E-01,-1.01E+00
2.04E+01,-7.14E-01,-1.01E+00
2.08E+01,-7.14E-01,-1.02E+00
2.11E+01,-7.14E-01,-1.03E+00
2.15E+01,-7.14E-01,-1.05E+00
2.18E+01,-7.06E-01,-1.07E+00
2.22E+01,-7.06E-01,-1.08E+00
2.25E+01,-7.06E-01,-1.09E+00
