,mass_B,
t,x,y
5.18E+01,-5.93E-01,2.62E-02
5.21E+01,-6.05E-01,-3.59E-02
5.25E+01,-5.99E-01,-1.04E-01
5.28E+01,-6.05E-01,-1.60E-01
5.32E+01,-5.99E-01,-2.22E-01
5.35E+01,-6.05E-01,-2.84E-01
5.39E+01,-6.12E-01,-3.59E-01
5.42E+01,-6.18E-01,-4.21E-01
5.46E+01,-6.18E-01,-4.77E-01
5.49E+01,-6.12E-01,-5.45E-01
5.53E+01,-6.18E-01,-6.19E-01
5.56E+01,-6.24E-01,-6.88E-01
5.60E+01,-6.18E-01,-7.50E-01
5.63E+01,-6.18E-01,-8.12E-01
5.67E+01,-6.18E-01,-8.80E-01
5.70E+01,-6.18E-01,-9.36E-01
5.74E+01,-6.18E-01,-1.00E+00
5.77E+01,-6.18E-01,-1.07E+00
5.81E+01,-6.18E-01,-1.15E+00
5.85E+01,-6.12E-01,-1.21E+00
5.88E+01,-6.18E-01,-1.28E+00
5.92E+01,-6.18E-01,-1.34E+00
5.95E+01,-6.05E-01,-1.41E+00
5.99E+01,-6.05E-01,-1.47E+00
6.02E+01,-6.05E-01,-1.53E+00
6.06E+01,-6.05E-01,-1.61E+00
6.09E+01,-6.05E-01,-1.67E+00
6.13E+01,-6.05E-01,-1.60E+00
6.16E+01,-6.05E-01,-1.53E+00
6.20E+01,-6.05E-01,-1.46E+00
6.23E+01,-6.05E-01,-1.39E+00
6.27E+01,-6.05E-01,-1.32E+00
6.30E+01,-5.99E-01,-1.24E+00
6.34E+01,-6.05E-01,-1.17E+00
6.37E+01,-5.87E-01,-1.09E+00
6.41E+01,-5.87E-01,-1.02E+00
6.44E+01,-5.93E-01,-9.42E-01
6.48E+01,-5.81E-01,-8.74E-01
6.51E+01,-5.81E-01,-7.99E-01
6.55E+01,-5.93E-01,-7.25E-01
6.58E+01,-5.99E-01,-6.57E-01
6.62E+01,-5.93E-01,-5.88E-01
6.65E+01,-5.87E-01,-5.14E-01
6.69E+01,-5.93E-01,-4.33E-01
6.73E+01,-5.93E-01,-3.65E-01
6.76E+01,-5.87E-01,-2.84E-01
6.80E+01,-5.87E-01,-2.10E-01
6.83E+01,-5.93E-01,-1.29E-01
6.87E+01,-5.93E-01,-5.45E-02
6.90E+01,-5.81E-01,2.00E-02
6.94E+01,-5.81E-01,8.83E-02
6.97E+01,-5.74E-01,1.57E-01
7.01E+01,-5.81E-01,1.44E-01
7.04E+01,-5.81E-01,1.13E-01
7.08E+01,-5.81E-01,5.73E-02
7.11E+01,-5.87E-01,-1.72E-02
7.15E+01,-5.74E-01,-6.69E-02
7.18E+01,-5.81E-01,-1.29E-01
7.22E+01,-5.81E-01,-1.91E-01
7.25E+01,-5.87E-01,-2.59E-01
7.29E+01,-5.87E-01,-3.28E-01
7.32E+01,-5.87E-01,-3.96E-01
7.36E+01,-5.93E-01,-4.58E-01
7.39E+01,-5.93E-01,-5.26E-01
7.43E+01,-5.93E-01,-5.95E-01
7.46E+01,-5.93E-01,-6.63E-01
7.50E+01,-5.99E-01,-7.19E-01
7.54E+01,-5.99E-01,-7.87E-01
7.57E+01,-5.99E-01,-8.49E-01
7.61E+01,-5.93E-01,-9.30E-01
7.64E+01,-5.93E-01,-9.79E-01
7.68E+01,-5.99E-01,-1.05E+00
7.71E+01,-6.05E-01,-1.11E+00
7.75E+01,-6.05E-01,-1.18E+00
7.78E+01,-6.05E-01,-1.25E+00
7.82E+01,-6.05E-01,-1.31E+00
7.85E+01,-6.05E-01,-1.38E+00
7.89E+01,-5.99E-01,-1.45E+00
7.92E+01,-5.93E-01,-1.51E+00
7.96E+01,-5.93E-01,-1.58E+00
7.99E+01,-5.99E-01,-1.64E+00
8.03E+01,-5.99E-01,-1.71E+00
8.06E+01,-6.05E-01,-1.77E+00
8.10E+01,-6.05E-01,-1.84E+00
