t,x,y
0.00E+00,3.53E-02,-2.38E+00
3.52E-01,3.99E-02,-2.32E+00
7.04E-01,4.92E-02,-2.26E+00
1.06E+00,3.53E-02,-2.20E+00
1.41E+00,3.99E-02,-2.14E+00
1.76E+00,4.46E-02,-2.08E+00
2.11E+00,4.46E-02,-2.03E+00
2.46E+00,4.92E-02,-1.97E+00
2.82E+00,3.99E-02,-1.92E+00
3.17E+00,3.99E-02,-1.85E+00
3.52E+00,3.99E-02,-1.81E+00
3.87E+00,3.99E-02,-1.74E+00
4.23E+00,4.46E-02,-1.68E+00
4.58E+00,3.99E-02,-1.63E+00
4.93E+00,3.99E-02,-1.57E+00
5.28E+00,3.99E-02,-1.51E+00
5.63E+00,3.53E-02,-1.45E+00
5.99E+00,2.61E-02,-1.40E+00
6.34E+00,2.61E-02,-1.34E+00
6.69E+00,2.14E-02,-1.29E+00
7.04E+00,2.14E-02,-1.22E+00
7.39E+00,2.14E-02,-1.16E+00
7.75E+00,3.07E-02,-1.11E+00
8.10E+00,1.68E-02,-1.04E+00
8.45E+00,3.99E-02,-9.96E-01
8.80E+00,2.61E-02,-9.36E-01
9.15E+00,2.61E-02,-8.81E-01
9.51E+00,3.53E-02,-8.07E-01
9.86E+00,3.07E-02,-7.60E-01
1.02E+01,4.92E-02,-7.00E-01
1.06E+01,4.92E-02,-6.45E-01
1.09E+01,3.99E-02,-5.85E-01
1.13E+01,4.92E-02,-5.25E-01
1.16E+01,5.38E-02,-4.69E-01
1.20E+01,5.38E-02,-4.14E-01
1.23E+01,4.92E-02,-3.90E-01
1.27E+01,5.84E-02,-4.83E-01
1.30E+01,4.46E-02,-5.94E-01
1.34E+01,4.46E-02,-7.23E-01
1.37E+01,4.92E-02,-8.53E-01
1.41E+01,3.99E-02,-9.92E-01
1.44E+01,4.92E-02,-1.13E+00
1.48E+01,4.92E-02,-1.26E+00
1.51E+01,3.53E-02,-1.40E+00
1.55E+01,4.92E-02,-1.53E+00
1.58E+01,4.46E-02,-1.67E+00
1.62E+01,4.92E-02,-1.81E+00
1.65E+01,3.07E-02,-1.94E+00
1.69E+01,2.61E-02,-2.09E+00
1.73E+01,3.07E-02,-2.22E+00
1.76E+01,2.14E-02,-2.34E+00
1.80E+01,3.99E-02,-2.44E+00
1.83E+01,3.53E-02,-2.40E+00
1.87E+01,3.53E-02,-2.33E+00
1.90E+01,3.53E-02,-2.29E+00
1.94E+01,3.99E-02,-2.21E+00
1.97E+01,4.46E-02,-2.16E+00
2.01E+01,4.46E-02,-2.10E+00
2.04E+01,5.38E-02,-2.05E+00
2.08E+01,5.38E-02,-1.98E+00
2.11E+01,4.92E-02,-1.93E+00
2.15E+01,5.38E-02,-1.86E+00
2.18E+01,5.38E-02,-1.81E+00
2.22E+01,5.38E-02,-1.75E+00
2.25E+01,4.46E-02,-1.68E+00
2.29E+01,4.46E-02,-1.64E+00
2.32E+01,5.38E-02,-1.58E+00
2.36E+01,5.38E-02,-1.53E+00
2.39E+01,5.38E-02,-1.46E+00
2.43E+01,4.46E-02,-1.40E+00
2.46E+01,4.92E-02,-1.35E+00
2.50E+01,4.92E-02,-1.29E+00
2.54E+01,4.92E-02,-1.24E+00
2.57E+01,5.84E-02,-1.18E+00
2.61E+01,5.84E-02,-1.13E+00
2.64E+01,5.38E-02,-1.07E+00
2.68E+01,4.92E-02,-1.00E+00
2.71E+01,5.38E-02,-9.50E-01
2.75E+01,5.38E-02,-8.95E-01
2.78E+01,5.38E-02,-8.34E-01
2.82E+01,5.84E-02,-7.74E-01
2.85E+01,6.31E-02,-7.00E-01
2.89E+01,5.38E-02,-6.49E-01
2.92E+01,5.84E-02,-5.89E-01
2.96E+01,6.77E-02,-5.29E-01
2.99E+01,6.31E-02,-4.74E-01
3.03E+01,6.77E-02,-4.14E-01
3.06E+01,5.38E-02,-3.53E-01
3.10E+01,6.77E-02,-3.07E-01
3.13E+01,7.23E-02,-2.42E-01
3.17E+01,7.23E-02,-2.56E-01
3.20E+01,7.23E-02,-3.63E-01
3.24E+01,6.31E-02,-4.88E-01
3.27E+01,6.31E-02,-6.12E-01
3.31E+01,6.31E-02,-7.51E-01
3.35E+01,5.38E-02,-8.81E-01
3.38E+01,5.84E-02,-1.02E+00
3.42E+01,5.38E-02,-1.14E+00
3.45E+01,4.92E-02,-1.28E+00
3.49E+01,5.38E-02,-1.42E+00
3.52E+01,4.46E-02,-1.56E+00
3.56E+01,3.99E-02,-1.69E+00
3.59E+01,3.99E-02,-1.81E+00
3.63E+01,3.53E-02,-1.95E+00
3.66E+01,2.14E-02,-2.09E+00
3.70E+01,3.07E-02,-2.23E+00
3.73E+01,2.14E-02,-2.36E+00
3.77E+01,1.68E-02,-2.50E+00
3.80E+01,1.22E-02,-2.65E+00
3.84E+01,7.55E-03,-2.71E+00
3.87E+01,2.93E-03,-2.65E+00
3.91E+01,1.22E-02,-2.58E+00
3.94E+01,1.68E-02,-2.53E+00
3.98E+01,1.68E-02,-2.48E+00
4.01E+01,1.22E-02,-2.43E+00
4.05E+01,2.93E-03,-2.35E+00
4.08E+01,2.61E-02,-2.31E+00
4.12E+01,2.14E-02,-2.25E+00
4.15E+01,2.14E-02,-2.18E+00
4.19E+01,2.61E-02,-2.13E+00
4.23E+01,7.55E-03,-2.08E+00
4.26E+01,1.68E-02,-2.02E+00
4.30E+01,3.07E-02,-1.96E+00
4.33E+01,2.14E-02,-1.90E+00
4.37E+01,2.14E-02,-1.85E+00
4.40E+01,3.07E-02,-1.80E+00
4.44E+01,2.14E-02,-1.72E+00
4.47E+01,2.14E-02,-1.67E+00
4.51E+01,2.14E-02,-1.60E+00
4.54E+01,3.07E-02,-1.55E+00
4.58E+01,2.14E-02,-1.49E+00
4.61E+01,3.99E-02,-1.43E+00
4.65E+01,2.14E-02,-1.36E+00
4.68E+01,3.07E-02,-1.30E+00
4.72E+01,3.53E-02,-1.25E+00
4.75E+01,2.14E-02,-1.18E+00
4.79E+01,3.07E-02,-1.13E+00
4.82E+01,3.07E-02,-1.05E+00
4.86E+01,3.07E-02,-1.00E+00
4.89E+01,2.61E-02,-9.41E-01
4.93E+01,2.14E-02,-8.76E-01
4.96E+01,2.61E-02,-8.25E-01
5.00E+01,1.68E-02,-7.65E-01
5.04E+01,1.22E-02,-7.05E-01
5.07E+01,1.22E-02,-6.59E-01
5.11E+01,1.22E-02,-6.08E-01
5.14E+01,1.68E-02,-5.38E-01
5.18E+01,1.22E-02,-4.97E-01
5.21E+01,1.22E-02,-4.23E-01
5.25E+01,2.93E-03,-3.81E-01
5.28E+01,7.55E-03,-3.12E-01
5.32E+01,-1.70E-03,-2.56E-01
5.35E+01,7.55E-03,-1.96E-01
5.39E+01,1.22E-02,-1.36E-01
5.42E+01,2.14E-02,-8.06E-02
5.46E+01,2.61E-02,-1.12E-02
5.49E+01,2.61E-02,4.43E-02
5.53E+01,3.07E-02,1.23E-01
5.56E+01,1.68E-02,1.60E-01
5.60E+01,1.22E-02,2.39E-01
5.63E+01,1.22E-02,2.85E-01
5.67E+01,1.68E-02,3.40E-01
5.70E+01,-1.70E-03,4.10E-01
5.74E+01,1.22E-02,4.42E-01
5.77E+01,2.93E-03,3.68E-01
5.81E+01,2.61E-02,2.48E-01
5.85E+01,3.07E-02,1.23E-01
5.88E+01,1.68E-02,-1.12E-02
5.92E+01,1.68E-02,-1.36E-01
5.95E+01,1.22E-02,-2.79E-01
5.99E+01,7.55E-03,-4.09E-01
6.02E+01,1.22E-02,-5.43E-01
6.06E+01,2.93E-03,-6.96E-01
6.09E+01,-1.70E-03,-8.30E-01
6.13E+01,-1.70E-03,-9.82E-01
6.16E+01,2.93E-03,-1.09E+00
6.20E+01,-1.09E-02,-1.24E+00
6.23E+01,2.93E-03,-1.36E+00
6.27E+01,-1.70E-03,-1.50E+00
6.30E+01,-6.32E-03,-1.63E+00
6.34E+01,-1.70E-03,-1.77E+00
6.37E+01,-1.09E-02,-1.91E+00
6.41E+01,-1.09E-02,-2.05E+00
6.44E+01,-1.56E-02,-2.17E+00
6.48E+01,-6.32E-03,-2.30E+00
6.51E+01,-2.02E-02,-2.44E+00
6.55E+01,-2.48E-02,-2.58E+00
6.58E+01,-2.94E-02,-2.71E+00
6.62E+01,-2.02E-02,-2.83E+00
6.65E+01,-2.94E-02,-2.79E+00
6.69E+01,-3.41E-02,-2.70E+00
6.73E+01,-3.41E-02,-2.66E+00
6.76E+01,-4.79E-02,-2.61E+00
