t,x,y
0.00E+00,1.00E+00,-4.21E-01
3.52E-01,1.00E+00,-4.46E-01
7.04E-01,1.00E+00,-4.73E-01
1.06E+00,1.00E+00,-5.01E-01
1.41E+00,1.01E+00,-5.33E-01
1.76E+00,1.00E+00,-5.58E-01
2.11E+00,1.00E+00,-5.81E-01
2.46E+00,1.00E+00,-6.06E-01
2.82E+00,9.95E-01,-6.41E-01
3.17E+00,9.95E-01,-6.63E-01
3.52E+00,9.95E-01,-6.98E-01
3.87E+00,9.95E-01,-7.31E-01
4.23E+00,9.97E-01,-7.53E-01
4.58E+00,1.00E+00,-7.81E-01
4.93E+00,9.97E-01,-8.01E-01
5.28E+00,1.00E+00,-8.33E-01
5.63E+00,1.00E+00,-8.53E-01
5.99E+00,9.95E-01,-8.93E-01
6.34E+00,9.92E-01,-9.21E-01
6.69E+00,9.87E-01,-9.41E-01
7.04E+00,9.87E-01,-8.93E-01
7.39E+00,9.87E-01,-8.48E-01
7.75E+00,9.87E-01,-8.01E-01
8.10E+00,9.85E-01,-7.48E-01
8.45E+00,9.85E-01,-6.96E-01
8.80E+00,9.85E-01,-6.48E-01
9.15E+00,9.85E-01,-6.11E-01
9.51E+00,9.82E-01,-5.63E-01
9.86E+00,9.80E-01,-5.18E-01
1.02E+01,9.75E-01,-4.71E-01
1.06E+01,9.75E-01,-4.21E-01
1.09E+01,9.80E-01,-3.73E-01
1.13E+01,9.80E-01,-3.21E-01
1.16E+01,9.77E-01,-2.83E-01
1.20E+01,9.75E-01,-2.31E-01
1.23E+01,9.72E-01,-1.86E-01
1.27E+01,9.75E-01,-1.48E-01
1.30E+01,9.77E-01,-1.01E-01
1.34E+01,9.75E-01,-5.08E-02
1.37E+01,9.75E-01,-5.86E-03
1.41E+01,9.72E-01,4.41E-02
1.44E+01,9.72E-01,8.91E-02
1.48E+01,9.75E-01,1.27E-01
1.51E+01,9.72E-01,1.14E-01
1.55E+01,9.72E-01,9.16E-02
