t,y
0.00E+00,-1.24E+00
3.52E-01,-1.22E+00
7.04E-01,-1.19E+00
1.06E+00,-1.17E+00
1.41E+00,-1.15E+00
1.76E+00,-1.13E+00
2.11E+00,-1.10E+00
2.46E+00,-1.07E+00
2.82E+00,-1.04E+00
3.17E+00,-1.01E+00
3.52E+00,-9.83E-01
3.87E+00,-9.59E-01
4.23E+00,-9.27E-01
4.58E+00,-9.07E-01
4.93E+00,-8.87E-01
5.28E+00,-8.63E-01
5.63E+00,-8.38E-01
5.99E+00,-8.14E-01
6.34E+00,-7.82E-01
6.69E+00,-7.50E-01
7.04E+00,-7.26E-01
7.39E+00,-7.06E-01
7.75E+00,-6.86E-01
8.10E+00,-6.54E-01
8.45E+00,-6.26E-01
8.80E+00,-6.06E-01
9.15E+00,-5.74E-01
9.51E+00,-5.50E-01
9.86E+00,-5.29E-01
1.02E+01,-5.09E-01
1.06E+01,-4.93E-01
1.09E+01,-4.69E-01
1.13E+01,-4.45E-01
1.16E+01,-4.49E-01
1.20E+01,-4.77E-01
1.23E+01,-5.05E-01
1.27E+01,-5.41E-01
1.30E+01,-5.89E-01
1.34E+01,-6.29E-01
1.37E+01,-6.61E-01
1.41E+01,-7.01E-01
1.44E+01,-7.42E-01
1.48E+01,-7.78E-01
1.51E+01,-8.18E-01
1.55E+01,-8.54E-01
1.58E+01,-8.94E-01
1.62E+01,-9.26E-01
1.65E+01,-9.58E-01
1.69E+01,-9.98E-01
1.73E+01,-1.04E+00
1.76E+01,-1.08E+00
1.80E+01,-1.13E+00
1.83E+01,-1.15E+00
1.87E+01,-1.19E+00
1.90E+01,-1.23E+00
1.94E+01,-1.27E+00
1.97E+01,-1.31E+00
2.01E+01,-1.35E+00
2.04E+01,-1.39E+00
2.08E+01,-1.42E+00
2.11E+01,-1.46E+00
2.15E+01,-1.49E+00
2.18E+01,-1.48E+00
2.22E+01,-1.45E+00
2.25E+01,-1.43E+00
2.29E+01,-1.39E+00
2.32E+01,-1.37E+00
2.36E+01,-1.35E+00
2.39E+01,-1.33E+00
2.43E+01,-1.31E+00
2.46E+01,-1.29E+00
2.50E+01,-1.27E+00
2.54E+01,-1.24E+00
2.57E+01,-1.22E+00
2.61E+01,-1.19E+00
2.64E+01,-1.16E+00
2.68E+01,-1.14E+00
2.71E+01,-1.12E+00
2.75E+01,-1.08E+00
2.78E+01,-1.07E+00
2.82E+01,-1.03E+00
2.85E+01,-1.01E+00
2.89E+01,-9.78E-01
2.92E+01,-9.50E-01
2.96E+01,-9.25E-01
2.99E+01,-9.01E-01
3.03E+01,-8.77E-01
3.06E+01,-8.53E-01
3.10E+01,-8.29E-01
3.13E+01,-7.89E-01
3.17E+01,-7.69E-01
3.20E+01,-7.53E-01
3.24E+01,-7.29E-01
3.27E+01,-7.09E-01
3.31E+01,-6.85E-01
3.35E+01,-6.61E-01
3.38E+01,-6.25E-01
3.42E+01,-6.05E-01
3.45E+01,-5.73E-01
3.49E+01,-5.57E-01
3.52E+01,-5.37E-01
3.56E+01,-5.13E-01
3.59E+01,-4.85E-01
3.63E+01,-4.61E-01
3.66E+01,-4.44E-01
3.70E+01,-4.20E-01
3.73E+01,-3.84E-01
3.77E+01,-3.48E-01
3.80E+01,-3.24E-01
3.84E+01,-3.00E-01
3.87E+01,-2.80E-01
3.91E+01,-2.60E-01
3.94E+01,-2.16E-01
3.98E+01,-2.04E-01
4.01E+01,-1.88E-01
4.05E+01,-1.68E-01
4.08E+01,-1.76E-01
4.12E+01,-1.96E-01
4.15E+01,-2.28E-01
4.19E+01,-2.64E-01
4.23E+01,-3.04E-01
4.26E+01,-3.44E-01
4.30E+01,-3.88E-01
4.33E+01,-4.20E-01
4.37E+01,-4.60E-01
4.40E+01,-4.88E-01
4.44E+01,-5.25E-01
4.47E+01,-5.65E-01
4.51E+01,-6.12E-01
4.54E+01,-6.41E-01
4.58E+01,-6.93E-01
4.61E+01,-7.25E-01
4.65E+01,-7.57E-01
4.68E+01,-7.89E-01
4.72E+01,-8.37E-01
4.75E+01,-8.65E-01
4.79E+01,-9.09E-01
4.82E+01,-9.33E-01
4.86E+01,-9.65E-01
4.89E+01,-9.97E-01
4.93E+01,-1.04E+00
4.96E+01,-1.08E+00
5.00E+01,-1.13E+00
5.04E+01,-1.15E+00
5.07E+01,-1.21E+00
5.11E+01,-1.25E+00
5.14E+01,-1.27E+00
5.18E+01,-1.31E+00
5.21E+01,-1.35E+00
5.25E+01,-1.40E+00
5.28E+01,-1.43E+00
5.32E+01,-1.46E+00
5.35E+01,-1.46E+00
5.39E+01,-1.43E+00
5.42E+01,-1.41E+00
5.46E+01,-1.40E+00
5.49E+01,-1.37E+00
5.53E+01,-1.33E+00
5.56E+01,-1.31E+00
5.60E+01,-1.29E+00
5.63E+01,-1.25E+00
5.67E+01,-1.25E+00
5.70E+01,-1.22E+00
5.74E+01,-1.21E+00
5.77E+01,-1.17E+00
5.81E+01,-1.16E+00
5.85E+01,-1.13E+00
5.88E+01,-1.10E+00
5.92E+01,-1.07E+00
5.95E+01,-1.05E+00
5.99E+01,-1.02E+00
6.02E+01,-1.00E+00
6.06E+01,-9.73E-01
6.09E+01,-9.37E-01
6.13E+01,-9.05E-01
6.16E+01,-8.85E-01
6.20E+01,-8.53E-01
6.23E+01,-8.29E-01
6.27E+01,-7.96E-01
6.30E+01,-7.64E-01
6.34E+01,-7.48E-01
6.37E+01,-7.28E-01
6.41E+01,-7.00E-01
6.44E+01,-6.92E-01
6.48E+01,-6.56E-01
6.51E+01,-6.28E-01
6.55E+01,-6.12E-01
6.58E+01,-5.88E-01
6.62E+01,-5.64E-01
6.65E+01,-5.44E-01
6.69E+01,-5.16E-01
6.73E+01,-4.96E-01
6.76E+01,-4.76E-01
6.80E+01,-4.56E-01
6.83E+01,-4.36E-01
6.87E+01,-4.12E-01
6.90E+01,-3.84E-01
6.94E+01,-3.64E-01
6.97E+01,-3.32E-01
7.01E+01,-3.04E-01
7.04E+01,-2.88E-01
7.08E+01,-2.72E-01
7.11E+01,-2.40E-01
7.15E+01,-2.20E-01
7.18E+01,-1.96E-01
7.22E+01,-1.56E-01
7.25E+01,-1.32E-01
7.29E+01,-1.08E-01
7.32E+01,-7.57E-02
7.36E+01,-5.23E-02
7.39E+01,-2.83E-02
7.43E+01,-1.22E-02
7.46E+01,1.18E-02
7.50E+01,4.80E-02
7.54E+01,7.17E-02
7.57E+01,9.18E-02
7.61E+01,7.58E-02
7.64E+01,4.38E-02
7.68E+01,1.98E-02
7.71E+01,-1.22E-02
7.75E+01,-5.61E-02
7.78E+01,-8.82E-02
7.82E+01,-1.20E-01
7.85E+01,-1.52E-01
7.89E+01,-1.88E-01
7.92E+01,-2.28E-01
7.96E+01,-2.64E-01
7.99E+01,-3.00E-01
8.03E+01,-3.32E-01
8.06E+01,-3.80E-01
8.10E+01,-4.13E-01
8.13E+01,-4.61E-01
8.17E+01,-4.85E-01
8.20E+01,-5.29E-01
8.24E+01,-5.61E-01
8.27E+01,-6.05E-01
8.31E+01,-6.54E-01
8.35E+01,-6.94E-01
8.38E+01,-7.34E-01
8.42E+01,-7.74E-01
8.45E+01,-8.14E-01
8.49E+01,-8.54E-01
8.52E+01,-8.86E-01
8.56E+01,-9.18E-01
8.59E+01,-9.58E-01
8.63E+01,-9.98E-01
8.66E+01,-1.04E+00
8.70E+01,-1.07E+00
8.73E+01,-1.11E+00
8.77E+01,-1.16E+00
8.80E+01,-1.19E+00
8.84E+01,-1.23E+00
8.87E+01,-1.26E+00
8.91E+01,-1.30E+00
8.94E+01,-1.34E+00
8.98E+01,-1.38E+00
9.01E+01,-1.41E+00
9.05E+01,-1.45E+00
9.08E+01,-1.44E+00
