t,x,y
0.00E+00,-3.72E-01,-9.86E-01
3.52E-01,-3.76E-01,-1.00E+00
7.04E-01,-3.72E-01,-1.02E+00
1.06E+00,-3.72E-01,-1.04E+00
1.41E+00,-3.67E-01,-1.05E+00
1.76E+00,-3.67E-01,-1.06E+00
2.11E+00,-3.65E-01,-1.07E+00
2.46E+00,-3.63E-01,-1.08E+00
2.82E+00,-3.63E-01,-1.10E+00
3.17E+00,-3.61E-01,-1.11E+00
3.52E+00,-3.61E-01,-1.13E+00
3.87E+00,-3.58E-01,-1.15E+00
4.23E+00,-3.61E-01,-1.16E+00
4.58E+00,-3.52E-01,-1.17E+00
4.93E+00,-3.52E-01,-1.19E+00
5.28E+00,-3.49E-01,-1.20E+00
5.63E+00,-3.47E-01,-1.22E+00
5.99E+00,-3.58E-01,-1.24E+00
6.34E+00,-3.58E-01,-1.26E+00
6.69E+00,-3.56E-01,-1.26E+00
7.04E+00,-3.63E-01,-1.22E+00
7.39E+00,-3.63E-01,-1.16E+00
7.75E+00,-3.54E-01,-1.12E+00
8.10E+00,-3.56E-01,-1.08E+00
8.45E+00,-3.58E-01,-1.02E+00
8.80E+00,-3.58E-01,-9.73E-01
9.15E+00,-3.58E-01,-9.33E-01
9.51E+00,-3.58E-01,-8.93E-01
9.86E+00,-3.61E-01,-8.41E-01
1.02E+01,-3.58E-01,-7.95E-01
1.06E+01,-3.63E-01,-7.52E-01
1.09E+01,-3.63E-01,-7.06E-01
1.13E+01,-3.61E-01,-6.59E-01
1.16E+01,-3.67E-01,-6.21E-01
1.20E+01,-3.69E-01,-5.76E-01
1.23E+01,-3.67E-01,-5.36E-01
1.27E+01,-3.69E-01,-4.96E-01
1.30E+01,-3.74E-01,-4.45E-01
1.34E+01,-3.67E-01,-4.05E-01
1.37E+01,-3.67E-01,-3.65E-01
1.41E+01,-3.69E-01,-3.14E-01
1.44E+01,-3.72E-01,-2.65E-01
1.48E+01,-3.72E-01,-2.27E-01
1.51E+01,-3.65E-01,-2.29E-01
1.55E+01,-3.65E-01,-2.36E-01
1.58E+01,-3.65E-01,-2.56E-01
1.62E+01,-3.65E-01,-2.69E-01
1.65E+01,-3.58E-01,-2.85E-01
1.69E+01,-3.54E-01,-2.89E-01
1.73E+01,-3.54E-01,-3.05E-01
1.76E+01,-3.56E-01,-3.14E-01
1.80E+01,-3.58E-01,-3.27E-01
1.83E+01,-3.58E-01,-3.49E-01
1.87E+01,-3.58E-01,-3.56E-01
1.90E+01,-3.58E-01,-3.72E-01
1.94E+01,-3.56E-01,-3.81E-01
1.97E+01,-3.54E-01,-3.94E-01
2.01E+01,-3.54E-01,-4.10E-01
2.04E+01,-3.61E-01,-4.25E-01
2.08E+01,-3.61E-01,-4.52E-01
2.11E+01,-3.56E-01,-4.70E-01
2.15E+01,-3.54E-01,-4.72E-01
2.18E+01,-3.56E-01,-4.81E-01
2.22E+01,-3.56E-01,-4.99E-01
2.25E+01,-3.65E-01,-5.16E-01
2.29E+01,-3.65E-01,-5.28E-01
2.32E+01,-3.61E-01,-5.41E-01
2.36E+01,-3.61E-01,-5.56E-01
2.39E+01,-3.61E-01,-5.79E-01
2.43E+01,-3.65E-01,-5.92E-01
2.46E+01,-3.72E-01,-6.05E-01
2.50E+01,-3.76E-01,-5.59E-01
2.54E+01,-3.72E-01,-5.16E-01
2.57E+01,-3.69E-01,-4.72E-01
2.61E+01,-3.72E-01,-4.27E-01
2.64E+01,-3.74E-01,-3.74E-01
2.68E+01,-3.67E-01,-3.25E-01
2.71E+01,-3.65E-01,-2.78E-01
2.75E+01,-3.54E-01,-2.34E-01
2.78E+01,-3.56E-01,-1.94E-01
2.82E+01,-3.54E-01,-1.45E-01
2.85E+01,-3.49E-01,-9.79E-02
2.89E+01,-3.47E-01,-4.67E-02
2.92E+01,-3.43E-01,0.00E+00
2.96E+01,-3.49E-01,4.67E-02
2.99E+01,-3.38E-01,8.68E-02
3.03E+01,-3.36E-01,1.31E-01
3.06E+01,-3.36E-01,1.71E-01
3.10E+01,-3.45E-01,2.11E-01
3.13E+01,-3.32E-01,2.60E-01
3.17E+01,-3.38E-01,3.14E-01
3.20E+01,-3.43E-01,3.54E-01
3.24E+01,-3.36E-01,3.54E-01
3.27E+01,-3.36E-01,3.43E-01
3.31E+01,-3.34E-01,3.29E-01
3.35E+01,-3.36E-01,3.14E-01
3.38E+01,-3.38E-01,2.98E-01
