t,x,y
0.00E+00,-3.79E-01,-2.00E+00
3.52E-01,-3.79E-01,-1.97E+00
7.04E-01,-3.70E-01,-1.92E+00
1.06E+00,-3.79E-01,-1.86E+00
1.41E+00,-3.84E-01,-1.81E+00
1.76E+00,-3.88E-01,-1.78E+00
2.11E+00,-3.79E-01,-1.71E+00
2.46E+00,-3.84E-01,-1.65E+00
2.82E+00,-3.79E-01,-1.61E+00
3.17E+00,-3.70E-01,-1.55E+00
3.52E+00,-3.70E-01,-1.51E+00
3.87E+00,-3.79E-01,-1.45E+00
4.23E+00,-3.75E-01,-1.40E+00
4.58E+00,-3.79E-01,-1.36E+00
4.93E+00,-3.62E-01,-1.30E+00
5.28E+00,-3.62E-01,-1.25E+00
5.63E+00,-3.62E-01,-1.20E+00
5.99E+00,-3.75E-01,-1.14E+00
6.34E+00,-3.66E-01,-1.08E+00
6.69E+00,-3.84E-01,-1.02E+00
7.04E+00,-3.70E-01,-9.71E-01
7.39E+00,-3.75E-01,-9.18E-01
7.75E+00,-3.75E-01,-8.69E-01
8.10E+00,-3.70E-01,-8.21E-01
8.45E+00,-3.70E-01,-7.59E-01
8.80E+00,-3.84E-01,-7.14E-01
9.15E+00,-3.84E-01,-6.65E-01
9.51E+00,-3.79E-01,-6.17E-01
9.86E+00,-3.79E-01,-5.54E-01
1.02E+01,-3.79E-01,-5.01E-01
1.06E+01,-3.79E-01,-4.44E-01
1.09E+01,-3.93E-01,-3.99E-01
1.13E+01,-3.84E-01,-3.64E-01
1.16E+01,-3.79E-01,-3.02E-01
1.20E+01,-3.79E-01,-2.44E-01
1.23E+01,-3.88E-01,-1.86E-01
1.27E+01,-3.75E-01,-1.38E-01
1.30E+01,-3.79E-01,-1.02E-01
1.34E+01,-3.79E-01,-2.66E-02
1.37E+01,-3.79E-01,4.44E-03
1.41E+01,-3.79E-01,6.65E-02
1.44E+01,-3.79E-01,1.15E-01
1.48E+01,-3.79E-01,1.69E-01
1.51E+01,-3.79E-01,2.08E-01
1.55E+01,-3.79E-01,2.71E-01
1.58E+01,-3.79E-01,3.24E-01
1.62E+01,-3.70E-01,3.77E-01
1.65E+01,-3.62E-01,3.81E-01
1.69E+01,-3.70E-01,3.64E-01
1.73E+01,-3.70E-01,3.19E-01
1.76E+01,-3.70E-01,2.88E-01
1.80E+01,-3.79E-01,2.48E-01
1.83E+01,-3.79E-01,2.13E-01
1.87E+01,-3.79E-01,1.64E-01
1.90E+01,-3.70E-01,1.11E-01
1.94E+01,-3.70E-01,8.87E-02
1.97E+01,-3.82E-01,2.93E-02
2.01E+01,-3.78E-01,-1.42E-02
2.04E+01,-3.86E-01,-6.76E-02
2.08E+01,-3.90E-01,-1.13E-01
2.11E+01,-3.96E-01,-1.59E-01
2.15E+01,-3.90E-01,-2.10E-01
2.18E+01,-3.88E-01,-2.53E-01
2.22E+01,-3.90E-01,-3.03E-01
2.25E+01,-3.86E-01,-3.46E-01
2.29E+01,-3.84E-01,-3.90E-01
2.32E+01,-3.84E-01,-4.29E-01
2.36E+01,-3.78E-01,-4.71E-01
2.39E+01,-3.78E-01,-5.14E-01
2.43E+01,-3.84E-01,-5.54E-01
2.46E+01,-3.84E-01,-6.01E-01
2.50E+01,-3.80E-01,-6.55E-01
2.54E+01,-3.86E-01,-6.88E-01
2.57E+01,-3.78E-01,-7.34E-01
2.61E+01,-3.80E-01,-7.75E-01
2.64E+01,-3.82E-01,-8.15E-01
2.68E+01,-3.74E-01,-8.62E-01
2.71E+01,-3.86E-01,-9.04E-01
2.75E+01,-3.82E-01,-9.43E-01
2.78E+01,-3.86E-01,-9.87E-01
2.82E+01,-3.86E-01,-1.03E+00
2.85E+01,-3.94E-01,-1.07E+00
2.89E+01,-3.88E-01,-1.12E+00
2.92E+01,-3.86E-01,-1.16E+00
2.96E+01,-3.82E-01,-1.20E+00
2.99E+01,-3.84E-01,-1.25E+00
3.03E+01,-3.88E-01,-1.29E+00
3.06E+01,-3.90E-01,-1.34E+00
3.10E+01,-3.90E-01,-1.38E+00
3.13E+01,-3.82E-01,-1.42E+00
3.17E+01,-3.82E-01,-1.46E+00
3.20E+01,-3.82E-01,-1.51E+00
3.24E+01,-3.86E-01,-1.55E+00
3.27E+01,-3.80E-01,-1.60E+00
3.31E+01,-3.78E-01,-1.63E+00
3.35E+01,-3.78E-01,-1.68E+00
3.38E+01,-3.74E-01,-1.72E+00
3.42E+01,-3.82E-01,-1.76E+00
3.45E+01,-3.76E-01,-1.81E+00
3.49E+01,-3.86E-01,-1.85E+00
3.52E+01,-3.82E-01,-1.89E+00
3.56E+01,-3.82E-01,-1.93E+00
3.59E+01,-3.82E-01,-1.97E+00
3.63E+01,-3.82E-01,-2.02E+00
3.66E+01,-3.86E-01,-2.06E+00
3.70E+01,-3.84E-01,-2.10E+00
3.73E+01,-3.86E-01,-2.14E+00
3.77E+01,-3.84E-01,-2.18E+00
3.80E+01,-3.86E-01,-2.22E+00
3.84E+01,-3.88E-01,-2.27E+00
3.87E+01,-3.81E-01,-2.31E+00
3.91E+01,-3.81E-01,-2.36E+00
3.94E+01,-3.84E-01,-2.40E+00
3.98E+01,-3.88E-01,-2.35E+00
4.01E+01,-3.90E-01,-2.30E+00
4.05E+01,-3.88E-01,-2.25E+00
4.08E+01,-3.95E-01,-2.20E+00
4.12E+01,-3.88E-01,-2.15E+00
4.15E+01,-3.93E-01,-2.08E+00
