t,x,y
0.00E+00,-3.94E-01,-6.76E-01
3.52E-01,-4.17E-01,-6.48E-01
7.04E-01,-4.08E-01,-6.16E-01
1.06E+00,-3.94E-01,-5.93E-01
1.41E+00,-3.94E-01,-5.70E-01
1.76E+00,-3.94E-01,-5.79E-01
2.11E+00,-3.85E-01,-5.84E-01
2.46E+00,-3.94E-01,-5.98E-01
2.82E+00,-3.94E-01,-6.07E-01
3.17E+00,-3.94E-01,-6.16E-01
3.52E+00,-3.94E-01,-6.35E-01
3.87E+00,-3.90E-01,-6.48E-01
4.23E+00,-3.85E-01,-6.53E-01
4.58E+00,-3.85E-01,-6.72E-01
4.93E+00,-3.90E-01,-6.81E-01
5.28E+00,-3.94E-01,-7.04E-01
5.63E+00,-3.94E-01,-7.18E-01
5.99E+00,-3.94E-01,-7.41E-01
6.34E+00,-3.94E-01,-7.55E-01
6.69E+00,-3.94E-01,-7.69E-01
7.04E+00,-3.94E-01,-7.92E-01
7.39E+00,-4.03E-01,-8.05E-01
7.75E+00,-4.03E-01,-8.24E-01
8.10E+00,-4.13E-01,-8.38E-01
8.45E+00,-4.17E-01,-8.56E-01
8.80E+00,-4.17E-01,-8.61E-01
9.15E+00,-4.17E-01,-8.42E-01
9.51E+00,-4.17E-01,-8.15E-01
9.86E+00,-4.17E-01,-7.82E-01
1.02E+01,-4.17E-01,-7.59E-01
1.06E+01,-4.22E-01,-7.32E-01
1.09E+01,-4.13E-01,-7.04E-01
1.13E+01,-4.08E-01,-6.81E-01
1.16E+01,-4.03E-01,-6.58E-01
1.20E+01,-3.99E-01,-6.21E-01
1.23E+01,-3.94E-01,-5.98E-01
1.27E+01,-4.03E-01,-5.70E-01
1.30E+01,-3.94E-01,-5.47E-01
1.34E+01,-3.94E-01,-5.19E-01
1.37E+01,-4.03E-01,-4.91E-01
1.41E+01,-3.99E-01,-4.73E-01
1.44E+01,-3.90E-01,-4.50E-01
1.48E+01,-3.94E-01,-4.27E-01
1.51E+01,-3.94E-01,-4.04E-01
1.55E+01,-3.80E-01,-3.67E-01
1.58E+01,-3.85E-01,-3.34E-01
1.62E+01,-3.94E-01,-3.11E-01
1.65E+01,-3.90E-01,-2.79E-01
1.69E+01,-3.94E-01,-2.56E-01
1.73E+01,-3.94E-01,-2.37E-01
1.76E+01,-3.94E-01,-2.10E-01
1.80E+01,-3.99E-01,-2.01E-01
1.83E+01,-4.03E-01,-2.10E-01
1.87E+01,-3.99E-01,-2.14E-01
1.90E+01,-4.03E-01,-2.24E-01
1.94E+01,-4.13E-01,-2.47E-01
1.97E+01,-4.13E-01,-2.61E-01
2.01E+01,-4.13E-01,-2.65E-01
2.04E+01,-4.13E-01,-2.74E-01
2.08E+01,-4.17E-01,-3.02E-01
2.11E+01,-4.13E-01,-3.16E-01
2.15E+01,-4.13E-01,-3.25E-01
2.18E+01,-4.17E-01,-3.44E-01
2.22E+01,-4.17E-01,-3.44E-01
2.25E+01,-4.17E-01,-3.58E-01
2.29E+01,-4.22E-01,-3.85E-01
2.32E+01,-4.27E-01,-3.94E-01
2.36E+01,-4.45E-01,-3.99E-01
2.39E+01,-4.45E-01,-4.08E-01
2.43E+01,-4.45E-01,-4.36E-01
2.46E+01,-4.45E-01,-4.54E-01
2.50E+01,-4.45E-01,-4.59E-01
2.54E+01,-4.36E-01,-4.68E-01
2.57E+01,-4.36E-01,-4.82E-01
2.61E+01,-4.40E-01,-5.05E-01
2.64E+01,-4.36E-01,-5.24E-01
2.68E+01,-4.31E-01,-5.38E-01
2.71E+01,-4.31E-01,-5.38E-01
2.75E+01,-4.22E-01,-5.01E-01
2.78E+01,-4.31E-01,-4.82E-01
2.82E+01,-4.27E-01,-4.50E-01
2.85E+01,-4.13E-01,-4.18E-01
