x-axis,1
second,Volt
-24.8000E-09,-69.4912925974E-03
-24.6438E-09,-76.7274734244E-03
-24.4875E-09,-78.1345085852E-03
-24.3313E-09,-81.7525989987E-03
-24.1750E-09,-83.1596341595E-03
-24.0188E-09,-86.7777245730E-03
-23.8625E-09,-86.7777245730E-03
-23.7063E-09,-88.1847597338E-03
-23.5500E-09,-93.2098853082E-03
-23.3938E-09,-96.8279757217E-03
-23.2375E-09,-98.2350108825E-03
-23.0813E-09,-103.2601364568E-03
-22.9250E-09,-108.2852620311E-03
-22.7688E-09,-113.3103876055E-03
-22.6125E-09,-116.9284780190E-03
-22.4563E-09,-116.9284780190E-03
-22.3000E-09,-116.9284780190E-03
-22.1438E-09,-116.9284780190E-03
-21.9875E-09,-115.5214428582E-03
-21.8313E-09,-110.4963172838E-03
-21.6750E-09,-104.0641565487E-03
-21.5188E-09,-95.4209405609E-03
-21.3625E-09,-88.9887798257E-03
-21.2063E-09,-78.9385286771E-03
-21.0500E-09,-67.4812423677E-03
-20.8938E-09,-53.8129008055E-03
-20.7375E-09,-43.7626496569E-03
-20.5813E-09,-33.7123985082E-03
-20.4250E-09,-23.6621473596E-03
-20.2688E-09,-13.6118962109E-03
-20.1125E-09,-6.3757153839E-03
-19.9563E-09,-4.9686802231E-03
-19.8000E-09,-1.3505898096E-03
-19.6438E-09,-1.3505898096E-03
-19.4875E-09,-2.7576249704E-03
-19.3313E-09,-7.7827505447E-03
-19.1750E-09,-14.2149112798E-03
-19.0188E-09,-24.2651624285E-03
-18.8625E-09,-34.3154135771E-03
-18.7063E-09,-44.3656647258E-03
-18.5500E-09,-54.4159158744E-03
-18.3938E-09,-64.4661670231E-03
-18.2375E-09,-73.1093830109E-03
-18.0813E-09,-76.7274734244E-03
-17.9250E-09,-79.5415437460E-03
-17.7688E-09,-88.1847597338E-03
-17.6125E-09,-91.8028501474E-03
-17.4563E-09,-93.2098853082E-03
-17.3000E-09,-98.2350108825E-03
-17.1438E-09,-103.2601364568E-03
-16.9875E-09,-108.2852620311E-03
-16.8313E-09,-113.3103876055E-03
-16.6750E-09,-119.7425483406E-03
-16.5188E-09,-129.7927994892E-03
-16.3625E-09,-139.8430506379E-03
-16.2063E-09,-149.8933017865E-03
-16.0500E-09,-161.3505880959E-03
-15.8938E-09,-175.0189296581E-03
-15.7375E-09,-183.6621456459E-03
-15.5813E-09,-190.0943063811E-03
-15.4250E-09,-200.1445575297E-03
-15.2688E-09,-210.1948086783E-03
-15.1125E-09,-218.8380246662E-03
-14.9563E-09,-223.8631502405E-03
-14.8000E-09,-227.4812406540E-03
-14.6438E-09,-227.4812406540E-03
-14.4875E-09,-226.0742054932E-03
-14.3313E-09,-221.0490799189E-03
-14.1750E-09,-213.2098840230E-03
-14.0188E-09,-199.5415424608E-03
-13.8625E-09,-188.0842561514E-03
-13.7063E-09,-171.6018442676E-03
-13.5500E-09,-152.9083771311E-03
-13.3938E-09,-139.2400355690E-03
-13.2375E-09,-127.7827492595E-03
-13.0813E-09,-114.1144076973E-03
-12.9250E-09,-104.0641565487E-03
-12.7688E-09,-95.4209405609E-03
-12.6125E-09,-90.3958149866E-03
-12.4563E-09,-85.3706894122E-03
-12.3000E-09,-80.3455638379E-03
-12.1438E-09,-76.7274734244E-03
-11.9875E-09,-78.1345085852E-03
-11.8313E-09,-81.7525989987E-03
-11.6750E-09,-81.7525989987E-03
-11.5188E-09,-81.7525989987E-03
-11.3625E-09,-81.7525989987E-03
-11.2063E-09,-83.1596341595E-03
-11.0500E-09,-86.7777245730E-03
-10.8938E-09,-86.7777245730E-03
-10.7375E-09,-86.7777245730E-03
-10.5813E-09,-86.7777245730E-03
-10.4250E-09,-86.7777245730E-03
-10.2688E-09,-86.7777245730E-03
-10.1125E-09,-86.7777245730E-03
-9.9563E-09,-86.7777245730E-03
-9.8000E-09,-85.3706894122E-03
-9.6438E-09,-81.7525989987E-03
-9.4875E-09,-81.7525989987E-03
-9.3313E-09,-81.7525989987E-03
-9.1750E-09,-81.7525989987E-03
-9.0188E-09,-81.7525989987E-03
-8.8625E-09,-81.7525989987E-03
-8.7063E-09,-81.7525989987E-03
-8.5500E-09,-83.1596341595E-03
-8.3938E-09,-86.7777245730E-03
-8.2375E-09,-86.7777245730E-03
-8.0813E-09,-86.7777245730E-03
-7.9250E-09,-88.1847597338E-03
-7.7688E-09,-93.2098853082E-03
-7.6125E-09,-96.8279757217E-03
-7.4563E-09,-96.8279757217E-03
-7.3000E-09,-96.8279757217E-03
-7.1438E-09,-96.8279757217E-03
-6.9875E-09,-95.4209405609E-03
-6.8313E-09,-90.3958149866E-03
-6.6750E-09,-83.9636542514E-03
-6.5188E-09,-73.9134031028E-03
-6.3625E-09,-62.4561167933E-03
-6.2063E-09,-47.3807400704E-03
-6.0500E-09,-32.3053633474E-03
-5.8938E-09,-18.6370217853E-03
-5.7375E-09,-8.5867706366E-03
-5.5813E-09,+56.4453512E-06
-5.4250E-09,+860.4654431E-06
-5.2688E-09,-10.5968208663E-03
-5.1125E-09,-31.3003382325E-03
-4.9563E-09,-72.1043578960E-03
-4.8000E-09,-130.1948095351E-03
-4.6438E-09,-206.7777232878E-03
-4.4875E-09,-317.9335009917E-03
-4.3313E-09,-450.5968161538E-03
-4.1750E-09,-612.6068646698E-03
-4.0188E-09,-809.1897771373E-03
-3.8625E-09,-1.0315013325452E+00
-3.7063E-09,-1.2926068573869E+00
-3.5500E-09,-1.5832601206056E+00
-3.3938E-09,-1.8974309715121E+00
-3.2375E-09,-2.2469787064618E+00
-3.0813E-09,-2.6093907628818E+00
-2.9250E-09,-2.9904962864382E+00
-2.7688E-09,-3.3824560812352E+00
-2.6125E-09,-3.7744158760323E+00
-2.4563E-09,-4.1621545653468E+00
-2.3000E-09,-4.5362249130993E+00
-2.1438E-09,-4.8946168690598E+00
-1.9875E-09,-5.2214510364136E+00
-1.8313E-09,-5.5159233950688E+00
-1.6750E-09,-5.7754208797268E+00
-1.5188E-09,-5.9830590684577E+00
-1.3625E-09,-6.1535113279387E+00
-1.2063E-09,-6.2686872061022E+00
-1.0500E-09,-6.3356218787521E+00
-893.8E-12,-6.3611495166697E+00
-737.5E-12,-6.3275816778333E+00
-581.3E-12,-6.2624560503901E+00
-425.0E-12,-6.1579334384442E+00
-268.8E-12,-6.0116017817200E+00
-112.5E-12,-5.8423555523769E+00
+43.7E-12,-5.6457726399095E+00
+200.0E-12,-5.4319032954664E+00
